cell,markers
skin langerhans cells,"['HLA-DRA', 'CD74', 'HLA-DPB1', 'HLA-DRB1', 'HLA-DPA1', 'HLA-DQA1', 'HLA-DQB1', 'IL1R2', 'PLAUR', 'CD1C', 'CD83', 'HLA-DRB5', 'CSF2RA', 'CCR7', 'HLA-DQA2', 'FCGR2B', 'CPVL', 'CD1B', 'PTGIR', 'FCGR2A', 'HLA-DQB2', 'CLEC5A', 'PTGER3', 'ADAM8', 'CD58', 'GFRA2', 'CD86', 'CD274', 'CD33', 'CD40', 'TSPAN33', 'PTAFR', 'P2RX7', 'CD200R1', 'ST8SIA4', 'TTYH2', 'CD80', 'LAMP3', 'SIGLEC9', 'GPR132', 'ITGAX', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'NTN3', 'PCDHGC5', 'PCDHA11', 'OSCAR', 'EPX', 'TRHR', 'PCDHA6', 'TPTE', 'TMEFF1', 'PCDHGB4', 'CD101', 'HTR1D', 'GP5', 'TNFSF18', 'UGT1A9', 'PCDHGB1', 'TLR9', 'C4A', 'SLC6A2', 'CRLF2', 'ARSF', 'SLITRK3', 'CDSN', 'PCDHGB5', 'INHBE', 'NTSR1', 'CACNG6', 'SIGLEC12', 'DBH', 'PCDH20', 'PCDHGA9', 'PTPRQ', 'CEACAM8', 'ZP4', 'FLRT1', 'PCDHA10', 'SLC26A5', 'TMEM132E', 'ELFN2', 'PLXNB3', 'KIR3DL1', 'CPZ', 'IL1RL2', 'LRFN1', 'ALPP', 'PCDHGA8', 'SLC45A2', 'UNC5A', 'IGSF1', 'KIR2DL3', 'AGTR2', 'PCDHGA12', 'TMEM26', 'TLL2', 'CELSR3']"
adipose tissue adipocytes,"['CD36', 'VWF', 'HYAL2', 'A2M', 'PECAM1', 'PLVAP', 'S1PR1', 'CDH5', 'BST2', 'ESAM', 'AQP1', 'CLEC14A', 'FLT1', 'F2RL3', 'ICAM2', 'LIFR', 'PTPRB', 'TIE1', 'JAM2', 'EFNB2', 'ITGA6', 'ITGA1', 'ADRB2', 'PTPRM', 'SCARB1', 'CLEC1A', 'TEK', 'NRP1', 'APLNR', 'NPR1', 'PCDH19', 'PODXL', 'TSPAN18', 'PCDH1', 'CDH13', 'JAG2', 'TSPAN6', 'FZD4', 'ULBP3', 'CD34', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'NTN3', 'PCDHGC5', 'ULBP2', 'EPX', 'TRHR', 'PCDHA11', 'PCDHA6', 'PCDHGB4', 'TPTE', 'TMEFF1', 'HTR1D', 'ST6GALNAC3', 'PCDHGB1', 'FLG2', 'GP5', 'CDSN', 'UGT1A9', 'HMCN1', 'SLC6A2', 'TLR9', 'C4A', 'SLC45A2', 'ARSF', 'PCDHGB5', 'DBH', 'INHBE', 'PCDH20', 'CACNG6', 'TNFSF18', 'DCHS1', 'SLITRK3', 'CEACAM8', 'SIGLEC12', 'PCDHGA9', 'ZP4', 'PTPRQ', 'FLRT1', 'ELFN1', 'PLXNB3', 'CPZ', 'PLA2G3', 'NTSR1', 'ADRA2C', 'SLC26A5', 'UNC5A', 'ELFN2', 'PCDHGA8', 'ADAMTS15', 'ALPP', 'IGSF1', 'TMEM26', 'TMEM132E', 'COL2A1', 'PCDHGB7', 'AGTR2', 'CELSR3']"
esophagus b-cells,"['MS4A1', 'CD37', 'CD83', 'CXCR5', 'CD19', 'CD70', 'FCRL2', 'TNFRSF13B', 'CNR2', 'LY9', 'CD80', 'TLR9', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'NTN3', 'PCDHGC5', 'EPX', 'PCDHA6', 'PCDHA11', 'TRHR', 'ATG9A', 'FCRL3', 'TPTE', 'HTR1D', 'CDSN', 'PCDHGB1', 'UGT1A9', 'FLG2', 'PCDHGA12', 'PCDHGB4', 'SLC6A2', 'GP5', 'DBH', 'SLC45A2', 'INHBE', 'NTSR1', 'CACNG6', 'PCDH20', 'ARSF', 'TMEFF1', 'CEACAM8', 'TMEM132E', 'PTPRQ', 'ZP4', 'SLC26A5', 'PCDHGA9', 'SIGLEC12', 'PLA2G3', 'CD22', 'SLITRK3', 'PCDHA10', 'ELFN2', 'KIR3DL1', 'PCDHGB5', 'UNC5A', 'ALPP', 'ULBP3', 'PCDHGA8', 'KIR2DL3', 'COL2A1', 'AGTR2', 'TMPRSS5', 'CELSR3', 'TNFSF18', 'FLRT1', 'C4A', 'NXPH4', 'IGLON5', 'LRRC15', 'MGAT5B', 'TMEM26', 'TYR', 'VSTM1', 'CDH15', 'TMEM63C', 'CRLF2', 'NTRK1', 'SLC22A16', 'PRG2', 'PLXNB3', 'TNFRSF8', 'ADORA1', 'CD1B', 'IL1RL2', 'GPR39', 'HEPACAM', 'ELFN1', 'CCR4', 'CHRNA3', 'EFNB3', 'SCNN1D', 'DISP2', 'ICAM5', 'TLR1', 'KCNK17', 'CD200R1', 'TSHR', 'FAM171A2']"
salivary gland endothelial cells,"['VWF', 'PECAM1', 'PLVAP', 'AQP1', 'FLT1', 'MMRN1', 'PTPRB', 'CLEC14A', 'LRRC32', 'SLCO2A1', 'RAMP3', 'PODXL', 'THBD', 'F2RL3', 'CDH5', 'OLFM1', 'TEK', 'TLL1', 'SLCO4A1', 'CALCRL', 'SELP', 'TIE1', 'FAT4', 'SEMA6B', 'IL3RA', 'EPHA4', 'PKHD1L1', 'TSPAN18', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'NTN3', 'PCDHGC5', 'ITGA9', 'PCDHA11', 'PCDHA6', 'EPX', 'LIFR', 'TRHR', 'HTR1D', 'TPTE', 'TMEFF1', 'ICAM5', 'CDSN', 'UGT1A9', 'FLG2', 'GP5', 'PCDHGB4', 'TLR9', 'PCDHGB1', 'C4A', 'TNFSF18', 'ARSF', 'SLC45A2', 'SLC6A2', 'DBH', 'CACNG6', 'INHBE', 'ITGA10', 'PCDH20', 'SIGLEC12', 'NTSR1', 'PCDHGB5', 'ELFN1', 'PTPRQ', 'CEACAM8', 'TMEM132E', 'SLITRK3', 'FLRT1', 'ZP4', 'PCDH17', 'CPZ', 'PLA2G3', 'PLXNB3', 'PCDHGA9', 'MGAT5B', 'KIR3DL1', 'POSTN', 'ELFN2', 'IGSF1', 'UNC5A', 'ALPP', 'COL2A1', 'KIR2DL3', 'TMEM26', 'AGTR2', 'LRRC15', 'TNFRSF8', 'CELSR3', 'PCDHGA12', 'SLC26A5', 'TLL2', 'SCN2B', 'PCDHGA8', 'IGLON5', 'PCDHA10', 'TYR', 'NTRK1', 'CRLF2']"
skeletal muscle smooth muscle cells,"['MFGE8', 'ICAM2', 'AGTR1', 'PDGFRB', 'CD36', 'ITGA7', 'STEAP4', 'SCN4B', 'ESAM', 'FLT1', 'NFASC', 'MCAM', 'AOC3', 'DCBLD1', 'CLEC14A', 'PTPRB', 'S1PR3', 'COL5A3', 'NPY1R', 'S1PR1', 'CSPG4', 'ADCY3', 'CDH6', 'RERG', 'EDNRA', 'PEAR1', 'CDH5', 'SLC14A1', 'SLC2A4', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'PCDHA6', 'PCDHGC5', 'NTN3', 'EPX', 'PCDHA11', 'TRHR', 'TPTE', 'TMEFF1', 'ELFN1', 'ENTPD2', 'HTR1D', 'CDSN', 'GP5', 'UGT1A9', 'PCDHGB1', 'PCDHGB4', 'TLR9', 'FLG2', 'C4A', 'TNFSF18', 'SLC45A2', 'ARSF', 'DBH', 'LRRC32', 'PCDHA10', 'SLC6A2', 'INHBE', 'PCDH20', 'SIGLEC12', 'NTSR1', 'TMEM200B', 'TRPC6', 'TMEM132E', 'CEACAM8', 'ZP4', 'CPM', 'FLRT1', 'CPZ', 'PCDHGB5', 'PLXNB3', 'PLA2G3', 'SLC26A5', 'SLITRK3', 'PTPRQ', 'ELFN2', 'UNC5A', 'GPR176', 'ALPP', 'CELSR3', 'CDH8', 'COL2A1', 'KIR3DL1', 'TMEM26', 'KIR2DL3', 'SCN2B', 'TMPRSS5', 'AGTR2', 'MGAT5B', 'PCDHGA9', 'EFNB3', 'IGLON5', 'ULBP3', 'IGSF1', 'TMEM63C', 'TYR', 'SCNN1D', 'LRRC4B']"
skin suprabasal keratinocytes,"['KRT1', 'LYPD3', 'SERPINB2', 'EMP2', 'MPZL2', 'CXADR', 'CA12', 'EPHA2', 'FGFR3', 'FLG2', 'PLA2G3', 'CDSN', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'NTN3', 'PCDHGC5', 'PCDHA11', 'EPX', 'TRHR', 'PCDHA6', 'CLCA2', 'TPTE', 'TMEFF1', 'PCDHGB4', 'HTR1D', 'GP5', 'UGT1A9', 'PCDHGB1', 'TLR9', 'C4A', 'ARSF', 'SLC6A2', 'PCDHGB5', 'INHBE', 'NTSR1', 'CACNG6', 'SIGLEC12', 'DBH', 'PCDH20', 'PCDHGA9', 'NXPH4', 'PTPRQ', 'CEACAM8', 'ZP4', 'FLRT1', 'SLC26A5', 'SLITRK3', 'TMEM132E', 'PLXNB3', 'KIR3DL1', 'CPZ', 'PCDHA10', 'ALPP', 'ELFN2', 'CELSR3', 'TNFSF18', 'UNC5A', 'KIR2DL3', 'AGTR2', 'PCDHGA12', 'PCDHGA8', 'SLC45A2', 'IGSF1', 'TMEM26', 'COL2A1', 'MGAT5B', 'IGLON5', 'TMPRSS5', 'SCN2B', 'TMEM63C', 'TLL2', 'SLC6A11', 'PCDHGB7', 'CDH15', 'NTRK1', 'VSTM1', 'SCNN1D', 'IL1RL2', 'SLC6A9', 'ULBP3', 'EFNB3', 'RTN4R', 'CELSR2', 'ATG9A', 'ADORA1', 'GPR39', 'AMIGO1', 'ICAM5', 'KCNK17', 'ELFN1', 'HEPACAM', 'FAM171A2', 'CHRNA3', 'SLC22A16', 'MPO', 'TNFRSF8', 'LRFN1', 'HTR2B']"
spleen t-cells,"['IL7R', 'CD69', 'PRF1', 'KLRB1', 'GPR65', 'LTB', 'KLRF1', 'CD7', 'CD3D', 'GZMH', 'KLRG1', 'SELL', 'TRBC1', 'GPR174', 'IL2RB', 'NCR3', 'S1PR5', 'CD2', 'CD6', 'KLRC1', 'KIR2DS4', 'CD3G', 'CD28', 'CD5', 'CD40LG', 'CD96', 'TIGIT', 'FCRL6', 'ITGAL', 'CCR7', 'TRBV12-3', 'SLAMF1', 'FCGR3A', 'CD244', 'SIRPG', 'PDCD1', 'KIR3DL1', 'PTPRC', 'TNFRSF25', 'IL27RA', 'KIR2DL3', 'P2RY8', 'FCRL3', 'TMIGD2', 'CCR4', 'NMUR1', 'PTGER2', 'KCNA3', 'CD226', 'CD160', 'AMIGO1', 'TNFRSF9', 'GP5', 'PPIAL4A', 'ADAM8', 'SLAMF6', 'SIGLEC5', 'NXF2', 'NTN3', 'PCDHGC5', 'PCDHA11', 'EPX', 'PCDHA6', 'TRHR', 'TPTE', 'TMEFF1', 'SLCO4C1', 'PCDHGB1', 'HTR1D', 'CDSN', 'PCDHGB4', 'FLG2', 'UGT1A9', 'C4A', 'SLC45A2', 'SLC6A2', 'ARSF', 'CELSR3', 'TMEM132E', 'DBH', 'CEACAM8', 'PCDHGB5', 'TNFSF18', 'NTSR1', 'INHBE', 'CACNG6', 'PCDH20', 'PCDHGA9', 'ATG9A', 'SLITRK3', 'SLC26A5', 'PTPRQ', 'FLRT1', 'EPHA1', 'NTRK1', 'ZP4', 'CPZ', 'PLXNB3', 'PLA2G3']"
thymus t-cells,"['IL7R', 'CD69', 'TRAC', 'CD3D', 'CD7', 'TIGIT', 'TRBC1', 'CD3G', 'CD27', 'CD48', 'CD28', 'CD5', 'CD2', 'SIRPG', 'CD6', 'TRBV12-3', 'IL2RA', 'SELPLG', 'CCR7', 'CD40LG', 'KCNA3', 'CCR4', 'S1PR4', 'P2RY8', 'SELL', 'PTGER2', 'SLAMF6', 'CD96', 'TSHR', 'PDCD1', 'ABCC1', 'ANO9', 'F5', 'GP5', 'GPR132', 'SLC26A5', 'EPHA1', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'NTN3', 'PCDHGC5', 'EPX', 'IL2RB', 'PCDHA11', 'TRHR', 'PCDHA6', 'TPTE', 'HTR1D', 'FLG2', 'CDSN', 'TMEFF1', 'UGT1A9', 'PCDHGB1', 'PCDHGB4', 'NTRK1', 'TNFSF18', 'SLC45A2', 'ARSF', 'SLC6A2', 'NTSR1', 'DBH', 'INHBE', 'CACNG6', 'SIGLEC12', 'PCDH20', 'TMEM132E', 'SLITRK3', 'PCDHGB5', 'KIR2DL3', 'TLR9', 'KIR3DL1', 'CEACAM8', 'FLRT1', 'ZP4', 'CELSR3', 'PLA2G3', 'PCDHGA9', 'FCRL3', 'PLXNB3', 'ALPP', 'UNC5A', 'ELFN2', 'ATG9A', 'CD101', 'PCDHA10', 'IGSF1', 'PCDHGA8', 'COL2A1', 'C4A', 'AGTR2', 'SCN2B', 'LRRC15', 'CD226', 'TMPRSS5', 'AMIGO1', 'TLL2', 'TMEM26', 'MGAT5B']"
liver erythroid cells,"['TFRC', 'KCNH2', 'MINPP1', 'SLC22A16', 'SLC6A9', 'SLC22A4', 'ACHE', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'PCDHGC5', 'NTN3', 'PCDHA11', 'EPX', 'PCDHA6', 'TRHR', 'TPTE', 'TMEFF1', 'PCDHGB4', 'GP5', 'PCDHGB1', 'TLR9', 'CDSN', 'SLC6A2', 'FLG2', 'TNFSF18', 'SLC45A2', 'PRG2', 'PCDHGB5', 'ARSF', 'HTR1D', 'CACNG6', 'PCDHGA9', 'PCDH20', 'UGT1A9', 'CEACAM8', 'FLRT1', 'PTPRQ', 'ZP4', 'SIGLEC12', 'CPZ', 'NTSR1', 'PLXNB3', 'PLA2G3', 'SLITRK3', 'PCDHA10', 'UNC5A', 'ALPP', 'ELFN2', 'TMEM132E', 'SCNN1D', 'DBH', 'SCN2B', 'PCDHGA8', 'COL2A1', 'AGTR2', 'PCDHGA12', 'IGSF1', 'LRRC15', 'C4A', 'TLL2', 'TMPRSS5', 'CELSR3', 'MGAT5B', 'IGLON5', 'SLC26A5', 'NTRK1', 'TYR', 'TMEM63C', 'PCDHGB7', 'CRLF2', 'KIR3DL1', 'CDH15', 'ICAM5', 'LRFN1', 'SLC6A11', 'VSTM1', 'EFNB3', 'ATG9A', 'IL1RL2', 'NXPH4', 'CD1B', 'ADORA1', 'KCNK17', 'TNFRSF8', 'KIR2DL3', 'CHRNA3', 'GPR39', 'CCR4', 'ADAMTS15', 'ULBP3', 'PPT2', 'LRRC4B', 'COL6A6', 'MPO', 'PCDHGC3', 'TMEM200B', 'GRIK3', 'FAM171A2']"
spleen plasma cells,"['IGHG1', 'IGHG2', 'HSP90B1', 'IGHM', 'PPIB', 'CD38', 'TNFRSF17', 'CRELD2', 'CD27', 'FCRL5', 'TMEM156', 'TNFRSF13B', 'GMPPB', 'BSCL2', 'SLAMF7', 'SEL1L3', 'RPN1', 'SLC2A5', 'TM9SF1', 'KCNA3', 'TSHR', 'TOR3A', 'SIGLEC5', 'NXF2', 'NTN3', 'PPIAL4A', 'PCDHGC5', 'PCDHA11', 'EPX', 'PCDHA6', 'TRHR', 'TMEFF1', 'TPTE', 'C4A', 'PCDHGB1', 'HTR1D', 'CDSN', 'PCDHGB4', 'FLG2', 'UGT1A9', 'GP5', 'IL5RA', 'SLC45A2', 'SLC6A2', 'ARSF', 'INHBE', 'DBH', 'PCDHGB5', 'TNFSF18', 'NTSR1', 'CACNG6', 'PCDH20', 'PCDHGA9', 'TLR9', 'SLITRK3', 'PTPRQ', 'TMEM132E', 'FLRT1', 'ZP4', 'CEACAM8', 'SLC26A5', 'CPZ', 'PLXNB3', 'PLA2G3', 'PCDHA10', 'TLL2', 'PCDHGA8', 'IGSF1', 'ELFN2', 'UNC5A', 'ALPP', 'PCDHGA12', 'SCN2B', 'COL2A1', 'AGTR2', 'LRRC15', 'TMPRSS5', 'MGAT5B', 'CELSR3', 'CDH15', 'SIGLEC12', 'PCDHGB7', 'TMEM26', 'IGLON5', 'TMEM63C', 'ELFN1', 'TYR', 'ULBP3', 'GGT1', 'NTRK1', 'ATG9A', 'ADORA1', 'EFNB3', 'CRLF2', 'ICAM5', 'SCNN1D', 'IL1RL2', 'SLC6A11', 'VSTM1']"
vascular t-cells,"['IGHG4', 'IL7R', 'CD69', 'IL2RA', 'SLAMF6', 'CD226', 'CD2', 'EPX', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'NTN3', 'PCDHGC5', 'SLC26A5', 'GP5', 'PCDHA11', 'TRHR', 'PCDHA6', 'TPTE', 'TMEFF1', 'HTR1D', 'CDSN', 'UGT1A9', 'PCDHGB1', 'FLG2', 'TLR9', 'INHBE', 'SLC45A2', 'PCDHGB4', 'TNFSF18', 'ARSF', 'NTSR1', 'C4A', 'SLC6A2', 'DBH', 'SIGLEC12', 'CACNG6', 'PDCD1', 'PCDH20', 'CCR4', 'SLITRK3', 'CEACAM8', 'ZP4', 'KIR2DL3', 'TMEM132E', 'PCDHGB5', 'PLA2G3', 'CPZ', 'KIR3DL1', 'PCDHGA9', 'PTPRQ', 'CD96', 'CELSR3', 'UNC5A', 'ELFN2', 'PLXNB3', 'ALPP', 'COL2A1', 'AGTR2', 'NTRK1', 'CRLF2', 'PCDHGA8', 'MGAT5B', 'IGLON5', 'FLRT1', 'ULBP3', 'TLL2', 'PCDHA10', 'TMEM26', 'SCN2B', 'TMEM63C', 'IGSF1', 'TYR', 'LRRC15', 'VSTM1', 'LRFN1', 'CNR2', 'ADORA1', 'EFNB3', 'CD40LG', 'IL1RL2', 'ATG9A', 'SCNN1D', 'ELFN1', 'CD5', 'CDH15', 'SLC6A11', 'PCDHGA12', 'PRG2', 'CD101', 'TSHR', 'SIRPG', 'GPR39', 'CD1B', 'AMIGO1', 'RTN4R', 'ULBP2', 'EPHA1', 'CHRNA3']"
bronchus basal respiratory cells,"['TACSTD2', 'FN1', 'MMP13', 'BCAM', 'CTSC', 'IFNGR1', 'LAMC2', 'LOXL4', 'TNC', 'LAMB3', 'ITGB6', 'SERPINF1', 'CDH3', 'PLAU', 'ANGPTL4', 'CLCA2', 'LAMA3', 'EFEMP1', 'ITGB4', 'RAET1G', 'TNFRSF21', 'CD109', 'COL7A1', 'ITGAV', 'FAP', 'PLAT', 'ULBP2', 'SLC2A9', 'AMIGO2', 'JAG2', 'THSD1', 'ITGA2', 'PLOD2', 'SERPINE2', 'ITGA3', 'MPZL2', 'ADRB2', 'P4HA2', 'CDH6', 'SLITRK6', 'BMP1', 'FAT1', 'SDK2', 'PTPRQ', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'PCDHA6', 'NTN3', 'PCDHGC5', 'EPX', 'TRHR', 'PCDHA11', 'SLC6A2', 'TPTE', 'TMEFF1', 'ARSF', 'TNFSF18', 'HTR1D', 'PCDHGB4', 'CDSN', 'GP5', 'PCDHGB1', 'TLL2', 'FLG2', 'UGT1A9', 'TLR9', 'NTSR1', 'TSPAN2', 'C4A', 'ELFN2', 'SLC45A2', 'PCDHGB5', 'PCDHGA9', 'INHBE', 'PCDH20', 'DBH', 'LYPD3', 'EFNB3', 'SIGLEC12', 'SLITRK3', 'TMEM132E', 'LIPG', 'PCDHA10', 'CEACAM8', 'FLRT1', 'ZP4', 'SCN2B', 'PCDHGA8', 'PLXNB3', 'SLC26A5', 'CPZ', 'CELSR3', 'CELSR2', 'PLA2G3', 'ADAMTS15', 'KIR3DL1', 'IGSF1', 'SLC6A15']"
adipose tissue b-cells,"['IGHG1', 'IGHM', 'IGHA1', 'IGHG4', 'CD79A', 'MS4A1', 'LY9', 'IGHG2', 'TMEM156', 'TNFRSF13B', 'CCR7', 'CXCR5', 'FCRL5', 'FCRL2', 'CD22', 'ZDHHC23', 'CD80', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'NTN3', 'PCDHGC5', 'EPX', 'TRHR', 'PCDHA11', 'PCDHA6', 'TPTE', 'TMEFF1', 'HTR1D', 'PCDHGB4', 'PCDHGB1', 'GP5', 'CDSN', 'FCER2', 'FLG2', 'UGT1A9', 'TLR9', 'C4A', 'SLC45A2', 'CNR2', 'ARSF', 'SLC6A2', 'PCDHGB5', 'CACNG6', 'DBH', 'INHBE', 'PCDH20', 'TNFSF18', 'SLITRK3', 'PCDHGA9', 'SIGLEC12', 'CEACAM8', 'ZP4', 'PTPRQ', 'FLRT1', 'SLC26A5', 'PLXNB3', 'CPZ', 'PLA2G3', 'NTSR1', 'ELFN2', 'ALPP', 'IGSF1', 'UNC5A', 'PCDHGA8', 'TMEM132E', 'TMPRSS5', 'COL2A1', 'MGAT5B', 'AGTR2', 'TMEM26', 'SCN2B', 'IL5RA', 'CDH15', 'CELSR3', 'LRRC15', 'TLL2', 'PCDHA10', 'PCDHGA12', 'TYR', 'ADORA1', 'ELFN1', 'FCRL3', 'CD70', 'NTRK1', 'TMEM63C', 'SCNN1D', 'SLC6A11', 'PCDHGB7', 'ICAM5', 'PRG2', 'EFNB3', 'SLC22A16', 'NXPH4', 'TSHR', 'GPR39', 'BTLA', 'ATG9A', 'HEPACAM']"
pancreas ductal cells,"['TFPI2', 'SERPINA1', 'F3', 'SERPING1', 'VNN1', 'VCAM1', 'TSPAN2', 'CEACAM6', 'AMBP', 'TSPAN8', 'TACSTD2', 'GGT1', 'TNFRSF21', 'TMEM132A', 'DCBLD2', 'TNFRSF11B', 'VNN2', 'ADORA1', 'CDH2', 'HSD17B2', 'EPHB2', 'SERPINA3', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'NTN3', 'PCDHGC5', 'CDSN', 'HTR1D', 'PCDHA6', 'EPX', 'TRHR', 'PCDHA11', 'TPTE', 'TMEFF1', 'PCDHGB4', 'PCDHGB1', 'GP5', 'UGT1A9', 'C4A', 'TLR9', 'TNFSF18', 'SLC45A2', 'SLC6A2', 'FLG2', 'ARSF', 'NTSR1', 'PCDHGB5', 'DBH', 'PCDH20', 'CACNG6', 'PCDHGA9', 'ELFN2', 'SIGLEC12', 'ULBP2', 'SLITRK3', 'PTPRQ', 'TMEM132E', 'CEACAM8', 'FLRT1', 'ZP4', 'SLC26A5', 'PLXNB3', 'CPZ', 'INHBE', 'KIR3DL1', 'PLA2G3', 'PCDHGA8', 'CELSR3', 'GPR39', 'ALPP', 'UNC5A', 'SCN2B', 'COL2A1', 'AGTR2', 'IGSF1', 'TMPRSS5', 'MGAT5B', 'KIR2DL3', 'LRRC15', 'PCDHA10', 'ULBP3', 'PCDHGA12', 'VSTM1', 'TLL2', 'IGLON5', 'NXPH4', 'CDH15', 'EFNB3', 'IL1RL2', 'TMEM26', 'TYR', 'TMEM63C', 'NTRK1', 'PCDHGB7', 'ELFN1', 'ICAM5', 'SLC29A4', 'SLC6A11']"
fallopian tube lymphatic endothelial cells,"['MMRN1', 'TFPI', 'EMP1', 'OGN', 'CALCRL', 'FLT4', 'NRP2', 'COLEC12', 'SEMA3A', 'LOX', 'TIE1', 'LRRC15', 'ITGA9', 'EFNA5', 'HYAL2', 'TSPAN18', 'F2RL3', 'CDH5', 'AGTR2', 'CD200', 'UNC5A', 'PKHD1L1', 'RET', 'TNFRSF11A', 'PCDHGA9', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'TMEFF1', 'NTN3', 'PCDHGC5', 'EPX', 'PCDHGA12', 'TRHR', 'PCDHA11', 'PCDHA6', 'PCDHGB4', 'TPTE', 'GP5', 'HTR1D', 'FLG2', 'PCDHGB1', 'UGT1A9', 'C4A', 'CDSN', 'TLR9', 'ARSF', 'TNFSF18', 'SLC6A2', 'SLC26A5', 'SLC45A2', 'NTSR1', 'ABI3BP', 'INHBE', 'PCDHGB5', 'PCDH20', 'DBH', 'TMEM132E', 'ZP4', 'PLXNB3', 'CPZ', 'PLA2G3', 'FLRT1', 'KIR3DL1', 'IL17RB', 'MGAT5B', 'PCDHGB7', 'SCN2B', 'COL2A1', 'CACNG6', 'TLL2', 'PTPRQ', 'CELSR3', 'ELFN2', 'SIGLEC12', 'TLL1', 'ALPP', 'TMPRSS5', 'KIR2DL3', 'PCDHGA8', 'THSD1', 'TMEM26', 'TMEM63C', 'PCDHA10', 'TYR', 'SLITRK3', 'PCDHGC3', 'IGSF1', 'CDH15', 'ATG9A', 'TEK', 'ADORA1', 'SLC6A11', 'ADAMTS15', 'TMEM200B', 'ELFN1', 'IGDCC4', 'SLC22A16', 'PRG2']"
lung alveolar cells type 1,"['EMP2', 'GPRC5A', 'CEACAM6', 'SLC39A8', 'F3', 'MSLN', 'ITGA3', 'SUSD2', 'CGN', 'GALNT5', 'PLXNA1', 'ROR1', 'ALPP', 'ABCA7', 'CDH1', 'TSPAN13', 'LAMA3', 'LAMB3', 'COL12A1', 'CSPG5', 'SLC15A2', 'BDNF', 'MST1R', 'TMC7', 'GPR39', 'FAM174B', 'ITGB6', 'SIGLEC5', 'ICAM5', 'NXF2', 'PPIAL4A', 'NTN3', 'PCDHGC5', 'PCDHA11', 'EPX', 'TRHR', 'CDSN', 'PCDHA6', 'TMEFF1', 'TPTE', 'PCDHGB4', 'PCDHGB1', 'HTR1D', 'UGT1A9', 'GP5', 'FLG2', 'PTPRQ', 'TLR9', 'C4A', 'SLC6A2', 'SLC45A2', 'ARSF', 'TNFSF18', 'NTSR1', 'INHBE', 'PCDH20', 'PCDHGB5', 'DBH', 'SLC26A5', 'SIGLEC12', 'SLITRK3', 'TMEM132E', 'ZP4', 'FLRT1', 'PCDHGA9', 'CPZ', 'PLXNB3', 'ULBP3', 'PCDHA10', 'IGSF1', 'CEACAM8', 'UNC5A', 'CELSR3', 'PCDHGA8', 'COL2A1', 'PCDHGA12', 'SCN2B', 'GGT1', 'LRRC15', 'TLL2', 'TMPRSS5', 'TMEM26', 'ELFN2', 'MGAT5B', 'IL1RL2', 'TYR', 'KIR3DL1', 'IGLON5', 'PLA2G3', 'TMEM63C', 'CDH15', 'SCNN1D', 'SLC6A11', 'CACNG6', 'PRG2', 'ATG9A', 'PCDHGB7', 'KIR2DL3', 'TSHR']"
bone marrow t-cells,"['PRF1', 'LTB', 'IL7R', 'GZMH', 'KLRF1', 'SELL', 'KLRG1', 'CD69', 'CD2', 'GPR174', 'KIR2DS4', 'S1PR5', 'CD3D', 'IL2RB', 'CCR7', 'CD6', 'CD3G', 'NCR3', 'CD40LG', 'TRBC1', 'CD5', 'TIGIT', 'FCRL6', 'FCGR3A', 'PTGER2', 'CD28', 'ITGAL', 'CD96', 'CD7', 'CD244', 'SIRPG', 'KIR3DL1', 'KIR2DL3', 'SLAMF1', 'KLRC1', 'KLRB1', 'PDCD1', 'P2RY8', 'NMUR1', 'SELPLG', 'CXCR3', 'SLCO4C1', 'TRBV12-3', 'KCNA3', 'SLAMF6', 'GP5', 'FCRL3', 'CCR4', 'CD226', 'CLN3', 'TNFRSF25', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'NTN3', 'PCDHGC5', 'PCDHA11', 'PCDHA6', 'TRHR', 'PCDHGB4', 'EPX', 'PCDHGB5', 'TPTE', 'TMEFF1', 'CEACAM8', 'PCDHGB1', 'HTR1D', 'CDSN', 'C4A', 'ADAM8', 'ULBP3', 'FLG2', 'UGT1A9', 'ATG9A', 'DBH', 'TNFSF18', 'SLC45A2', 'SLC6A2', 'ARSF', 'NTSR1', 'TMEM132E', 'GGT1', 'TSPAN2', 'INHBE', 'CACNG6', 'PCDH20', 'PCDHGA9', 'TLR9', 'TMEM63C', 'SLITRK3', 'SLC26A5', 'PTPRQ', 'AMIGO1', 'PLXNB3', 'FLRT1', 'LRFN1', 'ZP4', 'CPZ', 'SIGLEC12']"
